ZIP Code,Type,County,Population,Area Code(s)
ZIP Code 10001,Standard,New York,"21,102",646 / 718 / 917
ZIP Code 10002,Standard,New York,"81,410",718
ZIP Code 10003,Standard,New York,"56,024",212 / 646 / 347 / 917 / 718
ZIP Code 10004,Standard,New York,"3,089",212 / 917 / 718 / 646 / 347
ZIP Code 10005,Standard,New York,"7,135",212 / 646 / 917 / 718 / 929 / 332 / 347
ZIP Code 10006,Standard,New York,"3,011",917 / 929
ZIP Code 10007,Standard,New York,"6,988",212 / 929 / 646 / 917 / 347 / 718 / 332
ZIP Code 10008,P.O. Box,New York,0,212 / 646 / 917
ZIP Code 10009,Standard,New York,"61,347",212 / 718 / 646 / 917
ZIP Code 10010,Standard,New York,"31,834",917 / 646 / 212 / 718 / 332
ZIP Code 10011,Standard,New York,"50,984",646 / 347 / 929 / 212 / 917 / 718 / 332
ZIP Code 10012,Standard,New York,"24,090",347 / 646 / 212 / 718 / 929
ZIP Code 10013,Standard,New York,"27,700",347 / 646 / 212 / 718 / 929 / 917
ZIP Code 10014,Standard,New York,"31,959",646 / 347 / 212 / 929 / 917 / 718 / 332
ZIP Code 10016,Standard,New York,"54,183",212 / 917 / 646 / 718
ZIP Code 10017,Standard,New York,"16,575",212 / 646 / 718
ZIP Code 10018,Standard,New York,"5,229",646 / 718 / 917
ZIP Code 10019,Standard,New York,"42,870",212 / 646 / 718 / 917 / 347
ZIP Code 10020,Standard,New York,0,212
ZIP Code 10021,Standard,New York,"43,631",212 / 646
ZIP Code 10022,Standard,New York,"31,924",212 / 646 / 917
ZIP Code 10023,Standard,New York,"60,998",212 / 347
ZIP Code 10024,Standard,New York,"59,283",212
ZIP Code 10025,Standard,New York,"94,600",212
ZIP Code 10026,Standard,New York,"34,003",212
ZIP Code 10027,Standard,New York,"59,707",212 / 646
ZIP Code 10028,Standard,New York,"45,141",646 / 212 / 917
ZIP Code 10029,Standard,New York,"76,003",646 / 212 / 917
ZIP Code 10030,Standard,New York,"26,999",212
ZIP Code 10031,Standard,New York,"56,438",212
ZIP Code 10032,Standard,New York,"57,331",212 / 917 / 646 / 347
ZIP Code 10033,Standard,New York,"53,926",212 / 646 / 917 / 347 / 929
ZIP Code 10034,Standard,New York,"38,908",646 / 718 / 212 / 929 / 917
ZIP Code 10035,Standard,New York,"33,969",646 / 212 / 917
ZIP Code 10036,Standard,New York,"24,711",212 / 646 / 917
ZIP Code 10037,Standard,New York,"17,416",212
ZIP Code 10038,Standard,New York,"20,300",212 / 917
ZIP Code 10039,Standard,New York,"24,527",212
ZIP Code 10040,Standard,New York,"41,905",646 / 212 / 917 / 347 / 929
ZIP Code 10041,Standard,New York,0,212 / 646 / 929 / 332 / 917 / 347 / 718
ZIP Code 10043,Unique,New York,0,212 / 646 / 917 / 718 / 347 / 929
ZIP Code 10044,Standard,New York,"11,661",646 / 718
ZIP Code 10045,Standard,New York,0,212
ZIP Code 10055,Standard,New York,0,212 / 917 / 646
ZIP Code 10060,Standard,New York,0,917 / 646 / 212 / 347 / 929 / 718 / 332
ZIP Code 10065,Standard,New York,"32,270",212 / 646 / 917
ZIP Code 10069,Standard,New York,"5,199",212 / 646 / 917 / 718
ZIP Code 10075,Standard,New York,"26,121",347
ZIP Code 10080,Unique,New York,0,212 / 646 / 929 / 917 / 347 / 332
ZIP Code 10081,Unique,New York,0,917 / 646 / 212
ZIP Code 10087,Unique,New York,0,917 / 646 / 212
ZIP Code 10090,Standard,New York,0,212 / 917
ZIP Code 10101,P.O. Box,New York,0,646 / 718 / 212 / 917 / 347
ZIP Code 10102,Unique,New York,0,212 / 646 / 718
ZIP Code 10103,Standard,New York,3,212
ZIP Code 10104,Standard,New York,0,212
ZIP Code 10105,Standard,New York,0,646 / 718 / 212 / 917 / 347
ZIP Code 10106,Standard,New York,0,212 / 646 / 718 / 917 / 347
ZIP Code 10107,Standard,New York,0,646 / 718 / 212 / 917 / 347
ZIP Code 10108,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10109,Unique,New York,0,212 / 646 / 718
ZIP Code 10110,Standard,New York,0,646 / 347 / 212 / 718 / 917
ZIP Code 10111,Standard,New York,0,212
ZIP Code 10112,Standard,New York,0,212
ZIP Code 10113,P.O. Box,New York,0,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10114,Unique,New York,0,212 / 646 / 718
ZIP Code 10115,Standard,New York,0,212 / 646
ZIP Code 10116,P.O. Box,New York,0,646 / 718 / 917
ZIP Code 10117,Unique,New York,0,332 / 929 / 646
ZIP Code 10118,Standard,New York,0,929 / 917
ZIP Code 10119,Standard,New York,92,212 / 646 / 917
ZIP Code 10120,Standard,New York,0,929
ZIP Code 10121,Standard,New York,0,212 / 646 / 718 / 917
ZIP Code 10122,Standard,New York,0,646
ZIP Code 10123,Standard,New York,0,212 / 646 / 917 / 929
ZIP Code 10124,Unique,New York,0,332 / 929 / 646
ZIP Code 10125,Unique,New York,0,332 / 929 / 646
ZIP Code 10126,Unique,New York,0,332 / 929 / 646
ZIP Code 10128,Standard,New York,"60,453",646 / 212 / 917
ZIP Code 10129,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10130,Unique,New York,0,332 / 929 / 646
ZIP Code 10131,Unique,New York,0,332 / 929 / 646
ZIP Code 10132,Unique,New York,0,332 / 929 / 646
ZIP Code 10133,Unique,New York,0,332 / 929 / 646
ZIP Code 10138,Unique,New York,0,332 / 929 / 646
ZIP Code 10150,P.O. Box,New York,0,212 / 646 / 917
ZIP Code 10151,Standard,New York,0,646 / 718 / 212 / 917 / 347
ZIP Code 10152,Standard,New York,0,212 / 646 / 917
ZIP Code 10153,Standard,New York,0,646 / 718 / 212 / 917 / 347
ZIP Code 10154,Standard,New York,0,212 / 917 / 646
ZIP Code 10155,Standard,New York,0,212 / 646 / 917
ZIP Code 10156,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10157,Unique,New York,0,332 / 929 / 646
ZIP Code 10158,Standard,New York,0,718 / 646 / 917 / 929
ZIP Code 10159,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10160,Unique,New York,0,332 / 929 / 646
ZIP Code 10162,Standard,New York,"1,685",212 / 646
ZIP Code 10163,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10164,Unique,New York,0,332 / 929 / 646
ZIP Code 10165,Standard,New York,2,212 / 646 / 917
ZIP Code 10166,Standard,New York,0,212
ZIP Code 10167,Standard,New York,0,212
ZIP Code 10168,Standard,New York,0,212 / 646 / 917 / 929
ZIP Code 10169,Standard,New York,0,212
ZIP Code 10170,Standard,New York,2,646 / 917 / 929
ZIP Code 10171,Standard,New York,0,917 / 646 / 212
ZIP Code 10172,Standard,New York,0,917 / 646 / 212
ZIP Code 10173,Standard,New York,2,212 / 646 / 917
ZIP Code 10174,Standard,New York,0,646 / 917 / 929
ZIP Code 10175,Standard,New York,0,212 / 646 / 917
ZIP Code 10176,Standard,New York,0,212 / 646 / 917
ZIP Code 10177,Standard,New York,0,212
ZIP Code 10178,Standard,New York,0,212 / 917 / 646 / 718
ZIP Code 10179,Unique,New York,0,332 / 929 / 646
ZIP Code 10185,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10199,Standard,New York,9,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10203,Unique,New York,0,332 / 929 / 646
ZIP Code 10211,Unique,New York,0,332 / 929 / 646
ZIP Code 10212,Unique,New York,0,332 / 929 / 646
ZIP Code 10213,Unique,New York,0,332 / 929 / 646
ZIP Code 10242,P.O. Box,New York,0,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10249,P.O. Box,New York,0,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10256,Unique,New York,0,332 / 929 / 646
ZIP Code 10258,Unique,New York,0,332 / 929 / 646
ZIP Code 10259,Unique,New York,0,332 / 929 / 646
ZIP Code 10260,Standard,New York,0,332 / 929 / 646
ZIP Code 10261,Unique,New York,0,332 / 929 / 646
ZIP Code 10265,Standard,New York,0,332 / 929 / 646
ZIP Code 10268,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10269,Unique,New York,0,332 / 929 / 646
ZIP Code 10270,Standard,New York,0,212 / 646 / 917 / 718 / 347 / 929
ZIP Code 10271,Standard,New York,0,212 / 917
ZIP Code 10272,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10273,Unique,New York,0,332 / 929 / 646
ZIP Code 10274,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10275,Unique,New York,0,332 / 929 / 646
ZIP Code 10276,P.O. Box,New York,0,212 / 646 / 347 / 917 / 718
ZIP Code 10277,Unique,New York,0,212 / 917
ZIP Code 10278,Standard,New York,0,212 / 347 / 917 / 646
ZIP Code 10279,Standard,New York,0,212 / 646 / 917
ZIP Code 10280,Standard,New York,"7,853",212 / 646 / 917 / 347
ZIP Code 10281,Standard,New York,0,212 / 646 / 929 / 917 / 347 / 332
ZIP Code 10282,Standard,New York,"4,783",212 / 646 / 929 / 917 / 347 / 332
ZIP Code 10285,Unique,New York,0,332 / 929 / 646
ZIP Code 10286,Unique,New York,0,332 / 929 / 646